,occupancy,bin1,bin2,H2S,temperature,humidity,time,date
0,1,71,47,22,62,14,09:00:00,2021-12-07
1,1,71,46,25,46,18,09:10:00,2021-12-07
2,2,72,49,23,28,18,09:20:00,2021-12-07
5,2,72,58,15,33,14,09:50:00,2021-12-07
6,5,74,47,12,35,11,10:00:00,2021-12-07
7,7,74,47,15,40,11,10:10:00,2021-12-07
8,4,75,43,13,40,7,10:20:00,2021-12-07
18,17,68,60,17,48,11,12:10:00,2021-12-07
19,15,80,57,18,48,11,12:20:00,2021-12-07
66,7,61,41,30,51,11,20:10:00,2021-12-07
67,8,73,37,28,53,11,20:20:00,2021-12-07
68,8,68,40,28,53,11,20:30:00,2021-12-07
141,21,36,46,40,75,18,08:53:20,2021-12-08
142,20,35,40,35,77,18,09:10:00,2021-12-08
143,20,71,47,28,77,18,09:20:00,2021-12-08
144,15,69,41,45,73,18,09:30:00,2021-12-08
145,12,10,13,44,71,18,09:40:00,2021-12-08
146,12,9,15,23,68,18,09:50:00,2021-12-08
147,14,31,30,41,68,18,10:00:00,2021-12-08
148,13,36,13,24,64,18,10:10:00,2021-12-08
149,11,34,14,41,66,18,10:20:00,2021-12-08
150,11,53,16,23,66,18,10:30:00,2021-12-08
151,12,24,38,39,68,18,10:40:00,2021-12-08
152,12,20,35,41,64,18,10:50:00,2021-12-08
153,10,52,35,47,62,18,11:00:00,2021-12-08
154,9,10,36,30,60,22,11:10:00,2021-12-08
155,10,7,51,28,62,22,11:30:00,2021-12-08
156,7,7,48,31,53,22,11:40:00,2021-12-08
157,7,62,54,28,71,0,11:50:00,2021-12-08
158,9,66,54,24,51,3,12:00:00,2021-12-08
159,8,66,54,22,33,11,12:10:00,2021-12-08
160,8,63,56,29,28,11,12:20:00,2021-12-08
161,12,66,54,24,31,11,12:30:00,2021-12-08
162,12,54,56,23,33,11,12:40:00,2021-12-08
163,12,52,57,24,40,7,12:50:00,2021-12-08
164,12,54,58,23,40,7,13:00:00,2021-12-08
165,12,68,56,23,37,7,13:10:00,2021-12-08
166,12,82,57,24,35,7,13:20:00,2021-12-08
167,12,84,62,28,31,11,13:30:00,2021-12-08
168,13,53,54,19,28,11,13:40:00,2021-12-08
169,9,68,57,21,24,11,13:50:00,2021-12-08
170,11,50,74,22,24,11,14:00:00,2021-12-08
171,13,51,57,22,22,11,14:10:00,2021-12-08
172,17,53,47,26,26,11,14:20:00,2021-12-08
173,17,50,52,19,31,11,14:30:00,2021-12-08
174,18,63,56,18,31,14,14:40:00,2021-12-08
175,16,72,47,28,35,14,14:50:00,2021-12-08
176,18,52,46,22,33,14,15:00:00,2021-12-08
177,20,52,60,22,40,11,15:10:00,2021-12-08
178,23,55,58,20,48,11,15:20:00,2021-12-08
179,22,73,57,21,40,11,15:30:00,2021-12-08
180,19,55,47,19,46,11,15:40:00,2021-12-08
181,19,54,47,21,42,11,15:50:00,2021-12-08
182,22,59,57,21,42,11,16:00:00,2021-12-08
183,23,55,54,19,46,14,16:10:00,2021-12-08
184,22,65,47,27,48,14,16:20:00,2021-12-08
185,19,25,41,20,44,14,16:30:00,2021-12-08
186,19,28,51,17,42,14,16:40:00,2021-12-08
187,20,34,47,25,48,14,16:50:00,2021-12-08
188,18,32,47,21,51,14,17:00:00,2021-12-08
189,19,28,54,20,51,14,17:10:00,2021-12-08
190,16,32,44,20,55,11,17:20:00,2021-12-08
191,19,34,61,17,53,11,17:30:00,2021-12-08
192,18,51,52,19,57,11,17:40:00,2021-12-08
193,18,51,54,18,57,11,17:50:00,2021-12-08
194,17,53,63,19,53,11,18:00:00,2021-12-08
195,19,51,58,18,53,11,18:10:00,2021-12-08
196,19,31,52,22,57,7,18:20:00,2021-12-08
197,16,44,57,26,57,11,18:30:00,2021-12-08
198,15,35,57,20,62,7,18:40:00,2021-12-08
199,16,34,68,18,60,7,18:50:00,2021-12-08
200,17,35,72,19,62,7,19:00:00,2021-12-08
201,19,49,57,15,57,7,19:10:00,2021-12-08
202,20,61,47,23,28,11,19:20:00,2021-12-08
203,18,52,47,22,22,7,19:30:00,2021-12-08
204,20,51,58,24,31,11,19:40:00,2021-12-08
205,16,44,47,23,42,7,19:50:00,2021-12-08
206,16,56,30,23,44,7,20:00:00,2021-12-08
207,18,52,48,24,48,7,20:10:00,2021-12-08
208,13,51,48,29,42,7,20:20:00,2021-12-08
209,13,52,75,25,37,11,20:30:00,2021-12-08
210,12,52,18,25,40,11,20:40:00,2021-12-08
211,10,50,20,35,40,11,20:50:00,2021-12-08
212,8,42,22,27,40,7,21:00:00,2021-12-08
213,6,52,32,28,40,11,21:10:00,2021-12-08
214,9,52,36,27,40,11,21:20:00,2021-12-08
215,9,63,35,27,40,11,21:30:00,2021-12-08
216,8,58,46,27,40,11,21:40:00,2021-12-08
217,11,36,46,32,71,14,21:50:00,2021-12-08
218,3,51,48,25,55,44,22:00:00,2021-12-08
219,5,23,50,25,42,48,22:10:00,2021-12-08
220,4,20,52,24,20,51,22:20:00,2021-12-08
221,5,28,48,25,15,55,22:30:00,2021-12-08
222,7,51,59,26,17,59,22:40:00,2021-12-08
223,7,51,55,25,15,59,22:50:00,2021-12-08
224,8,25,51,25,20,59,23:00:00,2021-12-08
225,8,22,50,29,20,59,23:10:00,2021-12-08
226,8,47,57,25,26,59,23:20:00,2021-12-08
227,10,17,52,29,22,59,23:30:00,2021-12-08
228,10,10,57,30,26,62,23:40:00,2021-12-08
229,10,10,54,31,28,59,23:50:00,2021-12-08
230,11,15,53,34,26,62,00:00:00,2021-12-09
231,10,49,57,29,31,62,00:10:00,2021-12-09
232,9,19,57,31,33,62,00:20:00,2021-12-09
233,10,12,57,31,31,62,00:30:00,2021-12-09
234,9,14,57,33,28,62,00:40:00,2021-12-09
235,0,38,61,23,71,40,00:50:00,2021-12-09
288,1,52,58,12,20,44,09:40:00,2021-12-09
289,1,52,58,28,17,44,09:50:00,2021-12-09
290,2,52,57,29,22,40,10:00:00,2021-12-09
291,2,52,57,33,31,40,10:10:00,2021-12-09
292,1,52,59,35,26,40,10:20:00,2021-12-09
293,3,58,63,26,11,48,10:30:00,2021-12-09
294,2,57,57,35,15,48,10:40:00,2021-12-09
295,2,57,74,33,24,40,10:50:00,2021-12-09
296,3,57,60,32,26,40,11:00:00,2021-12-09
297,5,57,62,33,28,40,11:10:00,2021-12-09
298,4,58,64,48,31,37,11:20:00,2021-12-09
299,5,57,62,34,28,37,11:30:00,2021-12-09
300,5,58,62,27,31,37,11:40:00,2021-12-09
301,4,63,83,38,20,40,11:50:00,2021-12-09
302,5,63,89,37,26,40,12:00:00,2021-12-09
303,6,63,89,37,28,37,12:10:00,2021-12-09
304,6,63,86,37,37,33,12:20:00,2021-12-09
305,7,64,85,37,35,37,12:30:00,2021-12-09
306,7,64,87,34,42,33,12:40:00,2021-12-09
307,6,64,85,34,28,37,12:50:00,2021-12-09
308,7,63,86,35,28,37,13:00:00,2021-12-09
309,4,62,86,37,37,33,13:10:00,2021-12-09
310,3,62,86,29,33,33,13:20:00,2021-12-09
311,4,64,87,33,35,33,13:30:00,2021-12-09
312,4,53,87,29,24,37,13:40:00,2021-12-09
313,5,67,88,22,28,37,13:50:00,2021-12-09
314,4,65,89,24,31,37,14:00:00,2021-12-09
315,4,52,88,24,35,33,14:10:00,2021-12-09
316,4,55,88,23,31,33,14:20:00,2021-12-09
317,3,43,89,25,42,33,14:30:00,2021-12-09
318,4,46,89,21,35,33,14:40:00,2021-12-09
319,4,48,89,23,35,33,14:50:00,2021-12-09
320,5,40,54,28,33,33,15:00:00,2021-12-09
321,5,44,46,23,22,37,15:10:00,2021-12-09
322,5,53,47,26,31,33,15:20:00,2021-12-09
323,4,53,47,19,26,37,15:30:00,2021-12-09
324,5,51,89,28,37,29,15:40:00,2021-12-09
325,5,52,89,23,31,33,15:50:00,2021-12-09
326,4,56,93,21,33,33,16:00:00,2021-12-09
327,4,53,47,22,33,29,16:10:00,2021-12-09
328,7,51,79,24,37,33,16:20:00,2021-12-09
329,7,52,82,31,37,29,16:30:00,2021-12-09
330,7,51,83,24,33,40,16:40:00,2021-12-09
331,7,52,84,24,31,33,16:50:00,2021-12-09
334,9,52,74,23,42,33,17:20:00,2021-12-09
335,11,52,74,19,46,29,17:30:00,2021-12-09
336,9,69,74,21,44,25,17:40:00,2021-12-09
337,10,52,74,23,51,25,17:50:00,2021-12-09
338,10,49,93,21,44,25,18:00:00,2021-12-09
339,8,48,89,22,48,25,18:10:00,2021-12-09
340,10,48,89,26,57,22,18:20:00,2021-12-09
341,9,48,89,25,48,25,18:30:00,2021-12-09
342,6,48,89,21,53,25,18:40:00,2021-12-09
343,5,49,89,23,51,25,18:50:00,2021-12-09
344,7,49,89,16,46,25,19:00:00,2021-12-09
345,7,48,89,19,46,33,19:10:00,2021-12-09
346,7,52,92,18,44,29,19:20:00,2021-12-09
347,6,67,91,19,35,22,19:30:00,2021-12-09
348,3,52,100,25,33,25,19:40:00,2021-12-09
349,3,58,98,20,28,48,19:50:00,2021-12-09
350,3,57,97,24,42,25,20:00:00,2021-12-09
351,3,52,96,21,44,29,20:10:00,2021-12-09
352,4,54,95,21,42,25,20:20:00,2021-12-09
353,4,55,93,19,44,25,20:30:00,2021-12-09
354,4,51,91,19,37,25,20:40:00,2021-12-09
355,2,58,91,21,44,22,20:50:00,2021-12-09
356,2,51,91,19,42,22,21:00:00,2021-12-09
357,3,61,92,20,33,25,21:10:00,2021-12-09
358,3,61,92,20,40,22,21:20:00,2021-12-09
359,3,61,91,19,37,22,21:30:00,2021-12-09
360,4,66,90,20,33,25,21:40:00,2021-12-09
