,time,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,Dec14,Dec15,Dec16,hour_minute
0,1638921600.0,0.0,858.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00:00
1,1638922200.0,0.0,850.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,00:10:00
2,1638922800.0,0.0,839.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,00:20:00
3,1638923400.0,0.0,838.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,00:30:00
4,1638924000.0,0.0,816.0,854.0,0.0,0.0,0.0,0.0,0.0,0.0,00:40:00
5,1638924600.0,0.0,833.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,00:50:00
6,1638925200.0,0.0,789.0,894.0,0.0,0.0,0.0,0.0,0.0,0.0,01:00:00
7,1638925800.0,0.0,801.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,01:10:00
8,1638926400.0,0.0,779.0,935.0,0.0,0.0,0.0,0.0,0.0,0.0,01:20:00
9,1638927000.0,0.0,835.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,01:30:00
10,1638927600.0,0.0,818.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,01:40:00
11,1638928200.0,0.0,812.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,01:50:00
12,1638928800.0,0.0,848.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0,02:00:00
13,1638929400.0,0.0,824.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,02:10:00
14,1638930000.0,0.0,834.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,02:20:00
15,1638930600.0,0.0,819.0,889.0,0.0,0.0,0.0,0.0,0.0,0.0,02:30:00
16,1638931200.0,0.0,757.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,02:40:00
17,1638931800.0,0.0,814.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,02:50:00
18,1638932400.0,0.0,834.0,857.0,0.0,0.0,0.0,0.0,0.0,0.0,03:00:00
19,1638933000.0,0.0,814.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,03:10:00
20,1638933600.0,0.0,802.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0,03:20:00
21,1638934200.0,0.0,798.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,03:30:00
22,1638934800.0,0.0,809.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,03:40:00
23,1638935400.0,0.0,769.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,03:50:00
24,1638936000.0,0.0,870.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,04:00:00
25,1638936600.0,0.0,827.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,04:10:00
26,1638937200.0,0.0,813.0,899.0,0.0,0.0,0.0,0.0,0.0,0.0,04:20:00
27,1638937800.0,0.0,805.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0,04:30:00
28,1638938400.0,0.0,788.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,04:40:00
29,1638939000.0,0.0,845.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,04:50:00
30,1638939600.0,0.0,796.0,904.0,0.0,0.0,0.0,0.0,0.0,0.0,05:00:00
31,1638940200.0,0.0,804.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0,05:10:00
32,1638941500.0,0.0,803.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,05:31:40
33,1638942000.0,0.0,790.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,05:40:00
34,1638942600.0,0.0,761.0,889.0,0.0,0.0,0.0,0.0,0.0,0.0,05:50:00
35,1638943200.0,0.0,768.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,06:00:00
36,1638943800.0,0.0,821.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,06:10:00
37,1638944400.0,0.0,854.0,853.0,0.0,0.0,0.0,0.0,0.0,0.0,06:20:00
38,1638945000.0,0.0,807.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,06:30:00
39,1638945600.0,0.0,779.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,06:40:00
40,1638946200.0,0.0,834.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,06:50:00
41,1638946800.0,0.0,801.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,07:00:00
42,1638947400.0,0.0,821.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,07:10:00
43,1638948000.0,0.0,836.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,07:20:00
44,1638948600.0,0.0,796.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,07:30:00
45,1638949200.0,0.0,812.0,857.0,0.0,0.0,0.0,0.0,0.0,0.0,07:40:00
46,1638949800.0,0.0,816.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0,07:50:00
47,1638950400.0,0.0,808.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,08:00:00
48,1638951000.0,0.0,814.0,849.0,0.0,0.0,0.0,0.0,0.0,835.0,08:10:00
49,1638951600.0,0.0,793.0,820.0,0.0,0.0,0.0,0.0,0.0,858.0,08:20:00
50,1638952200.0,0.0,819.0,816.0,0.0,0.0,0.0,0.0,0.0,821.0,08:30:00
51,1638952800.0,0.0,808.0,816.0,0.0,0.0,0.0,0.0,0.0,863.0,08:40:00
52,1638953600.0,794.0,771.0,842.0,0.0,0.0,0.0,0.0,0.0,807.0,08:53:20
53,1638954600.0,825.0,802.0,840.0,0.0,0.0,0.0,0.0,0.0,701.0,09:10:00
54,1638955200.0,627.0,809.0,788.0,0.0,0.0,0.0,0.0,0.0,847.0,09:20:00
55,1638955800.0,808.0,826.0,844.0,0.0,0.0,0.0,0.0,0.0,863.0,09:30:00
56,1638956400.0,814.0,788.0,800.0,0.0,0.0,0.0,0.0,0.0,897.0,09:40:00
57,1638957000.0,770.0,826.0,846.0,0.0,0.0,0.0,0.0,0.0,915.0,09:50:00
58,1638957600.0,734.0,828.0,837.0,0.0,0.0,0.0,0.0,0.0,832.0,10:00:00
59,1638958200.0,586.0,807.0,818.0,0.0,0.0,0.0,0.0,0.0,912.0,10:10:00
60,1638958800.0,698.0,818.0,777.0,0.0,0.0,0.0,0.0,0.0,901.0,10:20:00
61,1638959400.0,732.0,842.0,819.0,0.0,0.0,0.0,0.0,0.0,892.0,10:30:00
62,1638960000.0,715.0,834.0,878.0,0.0,0.0,0.0,0.0,0.0,896.0,10:40:00
63,1638960600.0,741.0,826.0,818.0,0.0,0.0,0.0,0.0,0.0,1033.0,10:50:00
64,1638961200.0,744.0,827.0,818.0,0.0,0.0,0.0,0.0,0.0,909.0,11:00:00
65,1638961800.0,723.0,776.0,774.0,0.0,0.0,801.0,0.0,0.0,845.0,11:10:00
66,1638963000.0,753.0,792.0,801.0,0.0,0.0,829.0,0.0,0.0,941.0,11:30:00
67,1638963600.0,705.0,828.0,831.0,0.0,0.0,879.0,0.0,0.0,934.0,11:40:00
68,1638964200.0,743.0,786.0,817.0,0.0,0.0,821.0,0.0,0.0,930.0,11:50:00
69,1638964800.0,742.0,852.0,803.0,0.0,0.0,743.0,0.0,0.0,939.0,12:00:00
70,1638965400.0,745.0,819.0,807.0,0.0,0.0,855.0,0.0,0.0,934.0,12:10:00
71,1638966000.0,793.0,839.0,832.0,0.0,0.0,833.0,0.0,0.0,905.0,12:20:00
72,1638966600.0,750.0,835.0,794.0,0.0,0.0,833.0,0.0,0.0,911.0,12:30:00
73,1638967200.0,727.0,808.0,802.0,0.0,0.0,816.0,0.0,0.0,913.0,12:40:00
74,1638967800.0,752.0,894.0,815.0,0.0,0.0,832.0,0.0,0.0,931.0,12:50:00
75,1638968400.0,757.0,837.0,814.0,0.0,820.0,829.0,0.0,0.0,861.0,13:00:00
76,1638969000.0,785.0,811.0,765.0,0.0,827.0,852.0,0.0,0.0,895.0,13:10:00
77,1638969600.0,838.0,838.0,805.0,0.0,818.0,0.0,0.0,0.0,864.0,13:20:00
78,1638970200.0,667.0,819.0,788.0,0.0,822.0,0.0,0.0,0.0,796.0,13:30:00
79,1638970800.0,656.0,828.0,819.0,0.0,831.0,0.0,0.0,0.0,815.0,13:40:00
80,1638971400.0,803.0,797.0,813.0,0.0,827.0,0.0,0.0,0.0,816.0,13:50:00
81,1638972000.0,688.0,838.0,824.0,0.0,827.0,0.0,0.0,0.0,806.0,14:00:00
82,1638972600.0,803.0,823.0,796.0,0.0,858.0,0.0,0.0,0.0,822.0,14:10:00
83,1638973200.0,835.0,842.0,822.0,0.0,823.0,851.0,0.0,0.0,786.0,14:20:00
84,1638973800.0,813.0,816.0,798.0,0.0,864.0,838.0,0.0,0.0,803.0,14:30:00
85,1638974400.0,789.0,976.0,844.0,0.0,867.0,834.0,0.0,0.0,849.0,14:40:00
86,1638975000.0,816.0,816.0,797.0,0.0,880.0,787.0,0.0,0.0,805.0,14:50:00
87,1638975600.0,810.0,967.0,778.0,0.0,910.0,835.0,0.0,0.0,833.0,15:00:00
88,1638976200.0,796.0,819.0,811.0,0.0,863.0,851.0,0.0,898.0,768.0,15:10:00
89,1638976800.0,813.0,960.0,763.0,0.0,883.0,851.0,0.0,922.0,770.0,15:20:00
90,1638977400.0,832.0,959.0,803.0,0.0,880.0,906.0,0.0,957.0,788.0,15:30:00
91,1638978000.0,832.0,973.0,776.0,0.0,901.0,874.0,0.0,938.0,847.0,15:40:00
92,1638978600.0,827.0,973.0,762.0,0.0,0.0,859.0,0.0,886.0,801.0,15:50:00
93,1638979200.0,833.0,826.0,800.0,0.0,0.0,734.0,0.0,848.0,786.0,16:00:00
94,1638979800.0,690.0,961.0,742.0,0.0,0.0,816.0,0.0,897.0,795.0,16:10:00
95,1638980400.0,852.0,988.0,787.0,0.0,0.0,871.0,0.0,883.0,816.0,16:20:00
96,1638981000.0,794.0,975.0,774.0,0.0,0.0,873.0,0.0,883.0,877.0,16:30:00
97,1638981600.0,831.0,981.0,773.0,0.0,0.0,875.0,0.0,843.0,811.0,16:40:00
98,1638982200.0,804.0,1014.0,784.0,0.0,0.0,884.0,0.0,826.0,816.0,16:50:00
99,1638982800.0,835.0,974.0,773.0,0.0,0.0,882.0,0.0,866.0,789.0,17:00:00
100,1638983400.0,854.0,957.0,774.0,0.0,0.0,871.0,0.0,928.0,836.0,17:10:00
101,1638984000.0,833.0,976.0,784.0,0.0,0.0,865.0,0.0,930.0,805.0,17:20:00
102,1638984600.0,827.0,1002.0,745.0,0.0,0.0,854.0,0.0,918.0,769.0,17:30:00
103,1638985200.0,822.0,1008.0,746.0,0.0,0.0,912.0,0.0,921.0,784.0,17:40:00
104,1638985800.0,816.0,1010.0,763.0,0.0,0.0,894.0,0.0,918.0,804.0,17:50:00
105,1638986400.0,811.0,989.0,749.0,0.0,0.0,931.0,0.0,934.0,786.0,18:00:00
106,1638987000.0,800.0,989.0,751.0,0.0,0.0,926.0,0.0,907.0,796.0,18:10:00
107,1638987600.0,635.0,998.0,747.0,0.0,0.0,907.0,0.0,654.0,834.0,18:20:00
108,1638988200.0,810.0,975.0,747.0,0.0,0.0,957.0,0.0,912.0,823.0,18:30:00
109,1638988800.0,786.0,1007.0,768.0,0.0,0.0,1090.0,0.0,930.0,790.0,18:40:00
110,1638989400.0,797.0,991.0,760.0,0.0,0.0,972.0,0.0,930.0,802.0,18:50:00
111,1638990000.0,769.0,992.0,763.0,0.0,0.0,937.0,0.0,942.0,742.0,19:00:00
112,1638990600.0,818.0,963.0,803.0,0.0,0.0,941.0,0.0,922.0,770.0,19:10:00
113,1638991200.0,812.0,913.0,798.0,0.0,0.0,972.0,0.0,932.0,762.0,19:20:00
114,1638991800.0,825.0,853.0,810.0,0.0,0.0,960.0,0.0,921.0,767.0,19:30:00
115,1638992400.0,880.0,1011.0,806.0,0.0,0.0,940.0,0.0,906.0,824.0,19:40:00
116,1638993000.0,850.0,997.0,801.0,0.0,0.0,912.0,0.0,901.0,779.0,19:50:00
117,1638993600.0,835.0,999.0,815.0,0.0,0.0,921.0,0.0,926.0,812.0,20:00:00
118,1638994200.0,839.0,803.0,861.0,0.0,0.0,934.0,0.0,911.0,784.0,20:10:00
119,1638994800.0,855.0,976.0,826.0,0.0,0.0,912.0,0.0,1008.0,784.0,20:20:00
120,1638995400.0,846.0,816.0,826.0,0.0,0.0,930.0,0.0,1515.0,771.0,20:30:00
121,1638996000.0,870.0,992.0,912.0,0.0,0.0,875.0,0.0,1097.0,768.0,20:40:00
122,1638996600.0,851.0,976.0,842.0,884.0,0.0,858.0,0.0,909.0,788.0,20:50:00
123,1638997200.0,853.0,806.0,849.0,0.0,0.0,852.0,0.0,932.0,768.0,21:00:00
124,1638997800.0,867.0,957.0,839.0,0.0,0.0,842.0,0.0,953.0,780.0,21:10:00
125,1638998400.0,853.0,967.0,846.0,0.0,0.0,816.0,0.0,927.0,779.0,21:20:00
126,1638999000.0,851.0,1023.0,838.0,0.0,0.0,917.0,0.0,897.0,764.0,21:30:00
127,1638999600.0,848.0,866.0,0.0,0.0,0.0,874.0,0.0,817.0,778.0,21:40:00
128,1639000200.0,860.0,848.0,0.0,0.0,0.0,688.0,0.0,819.0,772.0,21:50:00
129,1639000800.0,950.0,874.0,0.0,0.0,0.0,803.0,0.0,771.0,768.0,22:00:00
130,1639001400.0,859.0,851.0,0.0,0.0,0.0,836.0,0.0,812.0,781.0,22:10:00
131,1639002000.0,897.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0,22:20:00
132,1639002600.0,848.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:30:00
133,1639003200.0,727.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:40:00
134,1639003800.0,742.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22:50:00
135,1639004400.0,875.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:00:00
136,1639005000.0,880.0,877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:10:00
137,1639005600.0,850.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:20:00
138,1639006200.0,867.0,891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:30:00
139,1639006800.0,883.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:40:00
140,1639007400.0,857.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:50:00
