,occupancy,bin1,bin2,H2S,temperature,humidity,timestamp,date,time
0,5,27.81,0.0,915,26.7,40.0,1638867600,2021-12-07,09:00:00
1,6,29.48,0.0,843,26.3,30.0,1638868200,2021-12-07,09:10:00
2,6,37.06,0.0,826,27.6,26.0,1638868800,2021-12-07,09:20:00
3,6,-1.0,0.0,837,28.0,25.0,1638869400,2021-12-07,09:30:00
4,6,-1.0,0.0,834,28.0,26.0,1638870000,2021-12-07,09:40:00
5,7,25.61,0.0,832,27.8,26.0,1638870600,2021-12-07,09:50:00
6,13,27.0,0.0,800,29.3,21.0,1638871200,2021-12-07,10:00:00
7,12,23.78,0.0,804,28.9,21.0,1638871800,2021-12-07,10:10:00
8,15,33.18,0.0,761,28.9,21.0,1638872400,2021-12-07,10:20:00
9,16,-1.0,0.0,-1,-1.0,-1.0,1638873000,2021-12-07,10:30:00
10,12,-1.0,-1.0,-1,-1.0,-1.0,1638873600,2021-12-07,10:40:00
11,14,-1.0,-1.0,-1,-1.0,-1.0,1638874200,2021-12-07,10:50:00
12,13,-1.0,-1.0,-1,-1.0,-1.0,1638874800,2021-12-07,11:00:00
13,9,-1.0,-1.0,-1,-1.0,-1.0,1638875400,2021-12-07,11:10:00
14,12,-1.0,-1.0,-1,-1.0,-1.0,1638876000,2021-12-07,11:20:00
15,15,-1.0,-1.0,-1,-1.0,-1.0,1638876700,2021-12-07,11:31:40
16,15,-1.0,-1.0,-1,-1.0,-1.0,1638877200,2021-12-07,11:40:00
17,16,-1.0,0.0,845,29.6,20.0,1638878400,2021-12-07,12:00:00
18,17,14.17,0.0,877,29.4,21.0,1638879000,2021-12-07,12:10:00
19,20,14.17,0.0,865,29.0,21.0,1638879600,2021-12-07,12:20:00
20,17,29.22,0.0,-1,-1.0,-1.0,1638880200,2021-12-07,12:30:00
21,10,-1.0,-1.0,-1,-1.0,-1.0,1638880800,2021-12-07,12:40:00
22,18,-1.0,-1.0,-1,-1.0,-1.0,1638881500,2021-12-07,12:51:40
23,18,-1.0,-1.0,-1,-1.0,-1.0,1638882000,2021-12-07,13:00:00
24,16,-1.0,-1.0,-1,-1.0,-1.0,1638882600,2021-12-07,13:10:00
25,16,-1.0,-1.0,-1,-1.0,-1.0,1638883300,2021-12-07,13:21:40
26,21,-1.0,-1.0,-1,-1.0,-1.0,1638883800,2021-12-07,13:30:00
27,19,-1.0,-1.0,-1,-1.0,-1.0,1638884400,2021-12-07,13:40:00
28,20,-1.0,-1.0,-1,-1.0,-1.0,1638885000,2021-12-07,13:50:00
29,24,-1.0,-1.0,-1,-1.0,-1.0,1638885600,2021-12-07,14:00:00
30,25,-1.0,-1.0,-1,-1.0,-1.0,1638886200,2021-12-07,14:10:00
31,23,-1.0,-1.0,-1,-1.0,-1.0,1638886800,2021-12-07,14:20:00
32,18,-1.0,-1.0,-1,-1.0,-1.0,1638887400,2021-12-07,14:30:00
33,16,-1.0,-1.0,-1,-1.0,-1.0,1638888000,2021-12-07,14:40:00
34,17,-1.0,-1.0,-1,-1.0,-1.0,1638888600,2021-12-07,14:50:00
35,23,-1.0,-1.0,-1,-1.0,-1.0,1638889200,2021-12-07,15:00:00
36,28,-1.0,-1.0,-1,-1.0,-1.0,1638889800,2021-12-07,15:10:00
37,24,-1.0,-1.0,-1,-1.0,-1.0,1638890400,2021-12-07,15:20:00
38,20,-1.0,-1.0,-1,-1.0,-1.0,1638891000,2021-12-07,15:30:00
39,24,-1.0,-1.0,-1,-1.0,-1.0,1638891600,2021-12-07,15:40:00
40,22,-1.0,-1.0,-1,-1.0,-1.0,1638892200,2021-12-07,15:50:00
41,20,-1.0,-1.0,-1,-1.0,-1.0,1638892800,2021-12-07,16:00:00
42,20,-1.0,-1.0,-1,-1.0,-1.0,1638893400,2021-12-07,16:10:00
43,23,-1.0,-1.0,-1,-1.0,-1.0,1638894000,2021-12-07,16:20:00
44,19,-1.0,-1.0,-1,-1.0,-1.0,1638894600,2021-12-07,16:30:00
45,19,-1.0,29.85,-1,-1.0,-1.0,1638895200,2021-12-07,16:40:00
46,22,-1.0,31.15,975,29.8,24.0,1638895800,2021-12-07,16:50:00
47,21,-1.0,4.26,993,29.4,25.0,1638896400,2021-12-07,17:00:00
48,21,-1.0,4.26,976,29.0,25.0,1638897000,2021-12-07,17:10:00
49,17,-1.0,4.26,-1,-1.0,-1.0,1638897600,2021-12-07,17:20:00
50,18,-1.0,-1.0,-1,-1.0,-1.0,1638898200,2021-12-07,17:30:00
51,15,-1.0,-1.0,-1,-1.0,-1.0,1638898800,2021-12-07,17:40:00
52,16,-1.0,-1.0,-1,-1.0,-1.0,1638899400,2021-12-07,17:50:00
53,12,-1.0,-1.0,-1,-1.0,-1.0,1638900000,2021-12-07,18:00:00
54,14,-1.0,-1.0,-1,-1.0,-1.0,1638900600,2021-12-07,18:10:00
55,13,-1.0,-1.0,-1,-1.0,-1.0,1638901200,2021-12-07,18:20:00
56,10,-1.0,-1.0,-1,-1.0,-1.0,1638901800,2021-12-07,18:30:00
57,12,-1.0,-1.0,-1,-1.0,-1.0,1638902400,2021-12-07,18:40:00
58,12,-1.0,-1.0,-1,-1.0,-1.0,1638903000,2021-12-07,18:50:00
59,13,-1.0,-1.0,-1,-1.0,-1.0,1638903600,2021-12-07,19:00:00
60,13,-1.0,-1.0,-1,-1.0,-1.0,1638904200,2021-12-07,19:10:00
61,12,-1.0,-1.0,-1,-1.0,-1.0,1638904800,2021-12-07,19:20:00
62,7,-1.0,-1.0,-1,-1.0,-1.0,1638905400,2021-12-07,19:30:00
63,8,-1.0,-1.0,-1,-1.0,-1.0,1638906000,2021-12-07,19:40:00
64,8,-1.0,-1.0,-1,-1.0,-1.0,1638906600,2021-12-07,19:50:00
65,7,-1.0,-1.0,-1,-1.0,-1.0,1638907200,2021-12-07,20:00:00
66,6,15.38,0.0,1072,29.2,24.0,1638907800,2021-12-07,20:10:00
67,4,15.38,0.0,1087,29.1,24.0,1638908400,2021-12-07,20:20:00
68,3,14.79,0.0,1066,28.3,25.0,1638909000,2021-12-07,20:30:00
69,1,-1.0,-1.0,-1,-1.0,-1.0,1638909600,2021-12-07,20:40:00
70,2,-1.0,-1.0,-1,-1.0,-1.0,1638910200,2021-12-07,20:50:00
71,2,-1.0,-1.0,-1,-1.0,-1.0,1638910800,2021-12-07,21:00:00
72,2,-1.0,-1.0,-1,-1.0,-1.0,1638911400,2021-12-07,21:10:00
73,2,-1.0,-1.0,-1,-1.0,-1.0,1638912000,2021-12-07,21:20:00
74,1,-1.0,-1.0,-1,-1.0,-1.0,1638912600,2021-12-07,21:30:00
75,1,-1.0,-1.0,-1,-1.0,-1.0,1638913200,2021-12-07,21:40:00
76,1,-1.0,-1.0,-1,-1.0,-1.0,1638913800,2021-12-07,21:50:00
77,1,-1.0,-1.0,-1,-1.0,-1.0,1638914400,2021-12-07,22:00:00
78,0,-1.0,-1.0,-1,-1.0,-1.0,1638915000,2021-12-07,22:10:00
79,0,-1.0,-1.0,-1,-1.0,-1.0,1638915600,2021-12-07,22:20:00
80,0,-1.0,-1.0,-1,-1.0,-1.0,1638916200,2021-12-07,22:30:00
81,0,-1.0,-1.0,-1,-1.0,-1.0,1638916800,2021-12-07,22:40:00
82,-1,-1.0,-1.0,-1,-1.0,-1.0,1638917400,2021-12-07,22:50:00
83,-1,-1.0,-1.0,-1,-1.0,-1.0,1638918000,2021-12-07,23:00:00
84,0,-1.0,-1.0,-1,-1.0,-1.0,1638918600,2021-12-07,23:10:00
85,0,-1.0,-1.0,-1,-1.0,-1.0,1638919200,2021-12-07,23:20:00
86,0,-1.0,-1.0,-1,-1.0,-1.0,1638919800,2021-12-07,23:30:00
87,0,-1.0,-1.0,-1,-1.0,-1.0,1638920400,2021-12-07,23:40:00
88,0,-1.0,-1.0,-1,-1.0,-1.0,1638921000,2021-12-07,23:50:00
89,0,-1.0,-1.0,-1,-1.0,-1.0,1638921600,2021-12-08,00:00:00
90,0,-1.0,-1.0,-1,-1.0,-1.0,1638922200,2021-12-08,00:10:00
91,0,-1.0,-1.0,-1,-1.0,-1.0,1638922800,2021-12-08,00:20:00
92,0,-1.0,-1.0,-1,-1.0,-1.0,1638923400,2021-12-08,00:30:00
93,0,-1.0,-1.0,-1,-1.0,-1.0,1638924000,2021-12-08,00:40:00
94,0,-1.0,-1.0,-1,-1.0,-1.0,1638924600,2021-12-08,00:50:00
95,0,-1.0,-1.0,-1,-1.0,-1.0,1638925200,2021-12-08,01:00:00
96,0,-1.0,-1.0,-1,-1.0,-1.0,1638925800,2021-12-08,01:10:00
97,0,-1.0,-1.0,-1,-1.0,-1.0,1638926400,2021-12-08,01:20:00
98,0,-1.0,-1.0,-1,-1.0,-1.0,1638927000,2021-12-08,01:30:00
99,0,-1.0,-1.0,-1,-1.0,-1.0,1638927600,2021-12-08,01:40:00
100,0,-1.0,-1.0,-1,-1.0,-1.0,1638928200,2021-12-08,01:50:00
101,0,-1.0,-1.0,-1,-1.0,-1.0,1638928800,2021-12-08,02:00:00
102,0,-1.0,-1.0,-1,-1.0,-1.0,1638929400,2021-12-08,02:10:00
103,0,-1.0,-1.0,-1,-1.0,-1.0,1638930000,2021-12-08,02:20:00
104,0,-1.0,-1.0,-1,-1.0,-1.0,1638930600,2021-12-08,02:30:00
105,0,-1.0,-1.0,-1,-1.0,-1.0,1638931200,2021-12-08,02:40:00
106,0,-1.0,-1.0,-1,-1.0,-1.0,1638931800,2021-12-08,02:50:00
107,0,-1.0,-1.0,-1,-1.0,-1.0,1638932400,2021-12-08,03:00:00
108,0,-1.0,-1.0,-1,-1.0,-1.0,1638933000,2021-12-08,03:10:00
109,0,-1.0,-1.0,-1,-1.0,-1.0,1638933600,2021-12-08,03:20:00
110,0,-1.0,-1.0,-1,-1.0,-1.0,1638934200,2021-12-08,03:30:00
111,0,-1.0,-1.0,-1,-1.0,-1.0,1638934800,2021-12-08,03:40:00
112,0,-1.0,-1.0,-1,-1.0,-1.0,1638935400,2021-12-08,03:50:00
113,0,-1.0,-1.0,-1,-1.0,-1.0,1638936000,2021-12-08,04:00:00
114,0,-1.0,-1.0,-1,-1.0,-1.0,1638936600,2021-12-08,04:10:00
115,0,-1.0,-1.0,-1,-1.0,-1.0,1638937200,2021-12-08,04:20:00
116,0,-1.0,-1.0,-1,-1.0,-1.0,1638937800,2021-12-08,04:30:00
117,0,-1.0,-1.0,-1,-1.0,-1.0,1638938400,2021-12-08,04:40:00
118,0,-1.0,-1.0,-1,-1.0,-1.0,1638939000,2021-12-08,04:50:00
119,0,-1.0,-1.0,-1,-1.0,-1.0,1638939600,2021-12-08,05:00:00
120,0,-1.0,-1.0,-1,-1.0,-1.0,1638940200,2021-12-08,05:10:00
121,0,-1.0,-1.0,-1,-1.0,-1.0,1638941500,2021-12-08,05:31:40
122,0,-1.0,-1.0,-1,-1.0,-1.0,1638942000,2021-12-08,05:40:00
123,0,-1.0,-1.0,-1,-1.0,-1.0,1638942600,2021-12-08,05:50:00
124,0,-1.0,-1.0,-1,-1.0,-1.0,1638943200,2021-12-08,06:00:00
125,0,-1.0,-1.0,-1,-1.0,-1.0,1638943800,2021-12-08,06:10:00
126,0,-1.0,-1.0,-1,-1.0,-1.0,1638944400,2021-12-08,06:20:00
127,0,-1.0,-1.0,-1,-1.0,-1.0,1638945000,2021-12-08,06:30:00
128,0,-1.0,-1.0,-1,-1.0,-1.0,1638945600,2021-12-08,06:40:00
129,0,-1.0,-1.0,-1,-1.0,-1.0,1638946200,2021-12-08,06:50:00
130,0,-1.0,-1.0,-1,-1.0,-1.0,1638946800,2021-12-08,07:00:00
131,0,-1.0,-1.0,-1,-1.0,-1.0,1638947400,2021-12-08,07:10:00
132,0,-1.0,-1.0,-1,-1.0,-1.0,1638948000,2021-12-08,07:20:00
133,0,-1.0,-1.0,-1,-1.0,-1.0,1638948600,2021-12-08,07:30:00
134,0,-1.0,-1.0,-1,-1.0,-1.0,1638949200,2021-12-08,07:40:00
135,0,-1.0,-1.0,-1,-1.0,-1.0,1638949800,2021-12-08,07:50:00
136,0,-1.0,-1.0,-1,-1.0,-1.0,1638950400,2021-12-08,08:00:00
137,0,-1.0,-1.0,-1,-1.0,-1.0,1638951000,2021-12-08,08:10:00
138,0,-1.0,-1.0,-1,-1.0,-1.0,1638951600,2021-12-08,08:20:00
139,0,-1.0,-1.0,-1,-1.0,-1.0,1638952200,2021-12-08,08:30:00
140,0,-1.0,-1.0,-1,-1.0,-1.0,1638952800,2021-12-08,08:40:00
141,1,37.55,30.12,794,27.7,17.0,1638953600,2021-12-08,08:53:20
142,1,37.69,29.36,825,27.0,18.0,1638954600,2021-12-08,09:10:00
143,1,37.78,29.37,627,26.5,19.0,1638955200,2021-12-08,09:20:00
144,2,37.94,30.93,808,26.2,18.0,1638955800,2021-12-08,09:30:00
145,5,38.12,24.96,814,26.2,18.0,1638956400,2021-12-08,09:40:00
146,4,38.22,36.79,770,26.5,16.0,1638957000,2021-12-08,09:50:00
147,2,38.16,36.8,734,26.4,17.0,1638957600,2021-12-08,10:00:00
148,3,38.92,36.84,586,26.4,16.0,1638958200,2021-12-08,10:10:00
149,5,39.12,29.9,698,26.5,16.0,1638958800,2021-12-08,10:20:00
150,7,39.13,29.9,732,26.7,16.0,1638959400,2021-12-08,10:30:00
151,4,39.3,27.23,715,26.7,15.0,1638960000,2021-12-08,10:40:00
152,6,39.62,27.34,741,26.8,16.0,1638960600,2021-12-08,10:50:00
153,8,41.21,25.12,744,27.0,16.0,1638961200,2021-12-08,11:00:00
154,10,42.05,24.98,723,27.1,15.0,1638961800,2021-12-08,11:10:00
155,12,42.5,24.76,753,27.6,14.0,1638963000,2021-12-08,11:30:00
156,13,43.3,23.9,705,27.0,16.0,1638963600,2021-12-08,11:40:00
157,13,40.93,23.9,743,26.8,15.0,1638964200,2021-12-08,11:50:00
158,13,39.79,45.48,742,27.2,15.0,1638964800,2021-12-08,12:00:00
159,13,49.91,44.92,745,27.2,16.0,1638965400,2021-12-08,12:10:00
160,15,49.57,44.92,793,27.1,16.0,1638966000,2021-12-08,12:20:00
161,15,47.58,29.62,750,27.1,16.0,1638966600,2021-12-08,12:30:00
162,15,35.9,25.97,727,27.2,16.0,1638967200,2021-12-08,12:40:00
163,17,36.35,38.01,752,27.1,16.0,1638967800,2021-12-08,12:50:00
164,15,41.61,36.31,757,27.1,16.0,1638968400,2021-12-08,13:00:00
165,20,31.02,24.18,785,27.0,17.0,1638969000,2021-12-08,13:10:00
166,26,39.56,24.0,838,27.3,16.0,1638969600,2021-12-08,13:20:00
167,24,35.67,24.18,667,27.3,17.0,1638970200,2021-12-08,13:30:00
168,29,33.87,37.68,656,27.4,17.0,1638970800,2021-12-08,13:40:00
169,25,33.09,33.0,803,27.7,16.0,1638971400,2021-12-08,13:50:00
170,18,35.9,29.88,688,27.5,17.0,1638972000,2021-12-08,14:00:00
171,21,36.13,29.56,803,27.8,16.0,1638972600,2021-12-08,14:10:00
172,24,35.9,44.31,835,28.2,16.0,1638973200,2021-12-08,14:20:00
173,21,36.13,42.71,813,28.2,16.0,1638973800,2021-12-08,14:30:00
174,18,35.9,48.27,789,28.2,16.0,1638974400,2021-12-08,14:40:00
175,17,35.67,47.58,816,28.1,16.0,1638975000,2021-12-08,14:50:00
176,21,34.38,43.11,810,27.7,16.0,1638975600,2021-12-08,15:00:00
177,21,36.23,42.71,796,27.7,16.0,1638976200,2021-12-08,15:10:00
178,23,35.9,39.52,813,27.9,16.0,1638976800,2021-12-08,15:20:00
179,23,29.52,44.9,832,27.9,16.0,1638977400,2021-12-08,15:30:00
180,22,26.95,36.75,832,28.1,16.0,1638978000,2021-12-08,15:40:00
181,21,28.67,37.08,827,28.2,16.0,1638978600,2021-12-08,15:50:00
182,22,28.96,38.6,833,28.1,16.0,1638979200,2021-12-08,16:00:00
183,17,29.71,45.97,690,28.0,16.0,1638979800,2021-12-08,16:10:00
184,16,35.16,43.49,852,28.0,16.0,1638980400,2021-12-08,16:20:00
185,15,34.9,40.94,794,27.8,16.0,1638981000,2021-12-08,16:30:00
186,16,29.21,42.0,831,27.6,16.0,1638981600,2021-12-08,16:40:00
187,16,30.0,42.05,804,27.6,16.0,1638982200,2021-12-08,16:50:00
188,16,32.58,42.7,835,27.4,16.0,1638982800,2021-12-08,17:00:00
189,20,31.08,37.82,854,27.5,16.0,1638983400,2021-12-08,17:10:00
190,21,29.22,38.13,833,27.7,16.0,1638984000,2021-12-08,17:20:00
191,18,29.74,36.07,827,27.6,16.0,1638984600,2021-12-08,17:30:00
192,16,32.01,42.05,822,27.4,16.0,1638985200,2021-12-08,17:40:00
193,16,30.62,43.01,816,27.3,16.0,1638985800,2021-12-08,17:50:00
194,16,29.69,31.17,811,27.5,15.0,1638986400,2021-12-08,18:00:00
195,18,29.23,31.69,800,27.3,16.0,1638987000,2021-12-08,18:10:00
196,17,29.74,30.91,635,27.3,16.0,1638987600,2021-12-08,18:20:00
197,16,29.74,30.13,810,27.5,15.0,1638988200,2021-12-08,18:30:00
198,13,31.03,31.43,786,27.4,15.0,1638988800,2021-12-08,18:40:00
199,16,31.81,31.95,797,27.5,15.0,1638989400,2021-12-08,18:50:00
200,17,31.03,31.17,769,27.6,15.0,1638990000,2021-12-08,19:00:00
201,16,29.74,30.39,818,27.7,15.0,1638990600,2021-12-08,19:10:00
202,18,32.42,31.17,812,27.8,15.0,1638991200,2021-12-08,19:20:00
203,15,30.25,28.52,825,27.8,15.0,1638991800,2021-12-08,19:30:00
204,13,30.25,22.73,880,27.8,15.0,1638992400,2021-12-08,19:40:00
205,10,36.78,23.32,850,27.6,15.0,1638993000,2021-12-08,19:50:00
206,9,30.77,30.39,835,27.5,15.0,1638993600,2021-12-08,20:00:00
207,10,30.78,30.91,839,27.5,15.0,1638994200,2021-12-08,20:10:00
208,10,36.36,29.35,855,27.3,15.0,1638994800,2021-12-08,20:20:00
209,11,30.0,28.52,846,27.3,16.0,1638995400,2021-12-08,20:30:00
210,10,30.0,22.73,870,27.4,15.0,1638996000,2021-12-08,20:40:00
211,9,29.21,23.02,851,27.3,15.0,1638996600,2021-12-08,20:50:00
212,8,29.22,24.76,853,27.2,16.0,1638997200,2021-12-08,21:00:00
213,7,33.63,25.96,867,27.2,16.0,1638997800,2021-12-08,21:10:00
214,8,38.43,23.6,853,27.3,16.0,1638998400,2021-12-08,21:20:00
215,8,36.37,25.34,851,27.3,16.0,1638999000,2021-12-08,21:30:00
216,8,35.91,23.32,848,27.4,15.0,1638999600,2021-12-08,21:40:00
217,7,36.07,24.18,860,27.4,15.0,1639000200,2021-12-08,21:50:00
218,7,30.25,25.05,950,27.3,15.0,1639000800,2021-12-08,22:00:00
219,7,29.74,26.78,859,27.4,15.0,1639001400,2021-12-08,22:10:00
220,6,34.91,36.76,897,27.3,16.0,1639002000,2021-12-08,22:20:00
221,2,12.42,33.93,848,27.2,16.0,1639002600,2021-12-08,22:30:00
222,3,11.42,36.52,727,27.2,16.0,1639003200,2021-12-08,22:40:00
223,0,14.59,43.34,742,27.1,16.0,1639003800,2021-12-08,22:50:00
224,1,11.84,17.37,875,27.1,15.0,1639004400,2021-12-08,23:00:00
225,0,13.59,36.99,880,27.2,16.0,1639005000,2021-12-08,23:10:00
226,1,18.29,34.28,850,27.1,15.0,1639005600,2021-12-08,23:20:00
227,1,12.42,33.51,867,27.1,15.0,1639006200,2021-12-08,23:30:00
228,1,13.3,34.81,883,26.9,16.0,1639006800,2021-12-08,23:40:00
229,1,15.05,29.61,857,27.0,16.0,1639007400,2021-12-08,23:50:00
230,0,26.02,36.53,858,27.0,15.0,1639008000,2021-12-09,00:00:00
231,0,13.0,29.52,850,26.9,15.0,1639008600,2021-12-09,00:10:00
232,0,17.81,32.16,839,26.9,16.0,1639009200,2021-12-09,00:20:00
233,0,30.52,29.35,838,26.9,15.0,1639009800,2021-12-09,00:30:00
234,0,29.74,17.71,816,26.9,15.0,1639010400,2021-12-09,00:40:00
235,0,29.74,11.6,833,26.8,15.0,1639011000,2021-12-09,00:50:00
236,0,30.52,12.18,833,-1.0,-1.0,1639011600,2021-12-09,01:00:00
237,0,30.25,12.25,816,-1.0,-1.0,1639012200,2021-12-09,01:10:00
238,0,30.26,11.31,811,-1.0,-1.0,1639012800,2021-12-09,01:20:00
239,0,30.26,27.08,841,-1.0,-1.0,1639013400,2021-12-09,01:30:00
240,0,31.55,14.53,834,-1.0,-1.0,1639014000,2021-12-09,01:40:00
241,0,31.55,12.18,824,-1.0,-1.0,1639014600,2021-12-09,01:50:00
242,0,30.94,16.2,821,-1.0,-1.0,1639015200,2021-12-09,02:00:00
243,0,30.78,22.45,865,-1.0,-1.0,1639015800,2021-12-09,02:10:00
244,0,30.78,24.01,801,-1.0,-1.0,1639016400,2021-12-09,02:20:00
245,0,30.78,25.74,821,-1.0,-1.0,1639017000,2021-12-09,02:30:00
246,0,30.78,32.48,835,-1.0,-1.0,1639017600,2021-12-09,02:40:00
247,0,30.78,23.49,816,-1.0,-1.0,1639018200,2021-12-09,02:50:00
248,0,30.01,24.76,818,-1.0,-1.0,1639018800,2021-12-09,03:00:00
249,0,30.01,17.69,829,-1.0,-1.0,1639019400,2021-12-09,03:10:00
250,0,30.01,30.66,869,-1.0,-1.0,1639020000,2021-12-09,03:20:00
251,0,30.01,29.88,795,-1.0,-1.0,1639020600,2021-12-09,03:30:00
252,0,29.23,31.17,809,-1.0,-1.0,1639021200,2021-12-09,03:40:00
253,0,29.23,30.39,795,-1.0,-1.0,1639021800,2021-12-09,03:50:00
254,0,29.23,29.62,853,-1.0,-1.0,1639022400,2021-12-09,04:00:00
255,0,28.4,29.62,795,-1.0,-1.0,1639023000,2021-12-09,04:10:00
256,0,28.4,13.36,773,-1.0,-1.0,1639023600,2021-12-09,04:20:00
257,0,28.73,14.24,778,-1.0,-1.0,1639024200,2021-12-09,04:30:00
258,0,29.76,23.31,794,-1.0,-1.0,1639024800,2021-12-09,04:40:00
259,0,29.75,15.13,794,-1.0,-1.0,1639025400,2021-12-09,04:50:00
260,0,29.75,16.41,762,-1.0,-1.0,1639026000,2021-12-09,05:00:00
261,0,29.75,13.06,793,-1.0,-1.0,1639026600,2021-12-09,05:10:00
262,0,28.98,13.95,806,-1.0,-1.0,1639027200,2021-12-09,05:20:00
263,0,27.24,14.48,798,-1.0,-1.0,1639027800,2021-12-09,05:30:00
264,0,27.24,14.83,760,-1.0,-1.0,1639028400,2021-12-09,05:40:00
265,0,27.24,29.88,784,-1.0,-1.0,1639029000,2021-12-09,05:50:00
266,0,27.25,19.82,793,-1.0,-1.0,1639029600,2021-12-09,06:00:00
267,0,28.11,13.66,797,-1.0,-1.0,1639030200,2021-12-09,06:10:00
268,0,29.49,33.52,795,-1.0,-1.0,1639030800,2021-12-09,06:20:00
269,0,24.65,36.08,738,-1.0,-1.0,1639031400,2021-12-09,06:30:00
270,1,25.52,34.03,809,-1.0,-1.0,1639032000,2021-12-09,06:40:00
271,0,30.78,35.33,798,-1.0,-1.0,1639032600,2021-12-09,06:50:00
272,0,28.98,33.26,796,-1.0,-1.0,1639033200,2021-12-09,07:00:00
273,0,29.6,34.56,788,-1.0,-1.0,1639033800,2021-12-09,07:10:00
274,0,40.45,35.84,826,-1.0,-1.0,1639034400,2021-12-09,07:20:00
275,0,29.76,36.08,807,-1.0,-1.0,1639035000,2021-12-09,07:30:00
276,0,22.35,36.08,768,-1.0,-1.0,1639035600,2021-12-09,07:40:00
